skip,819,824,"bloody"
skip,830,834,"bloody"
skip,842,862,"bloody"
skip,882,900,"bloody"
mute,917,918,"profanity"
mute,1400,1403,"profanity"
mute,1417,1420,"blasphemy"
mute,1870,1871,"profanity"
mute,1968,1970,"profanity"
mute,2026,2028,"profanity"
mute,2058,2059,"profanity"
mute,2068,2069,"profanity"
mute,2071,2072,"profanity"
mute,2162,2164,"profanity"
mute,2375,2376,"blasphemy"
mute,2565,2567,"profanity"
mute,2853,2855,"profanity"
mute,3374,3375,"blasphemy"
mute,3559,3560,"profanity"
mute,3726,3727,"profanity"
mute,3994,3998,"profanity"
mute,4132,4133,"profanity"
mute,4519,4520,"profanity"
mute,4673,4676,"profanity"
mute,4972,4973,"profanity"
mute,5170,5171,"profanity"
mute,5187,5188,"profanity"
skip,5870,5878,"nudity"
mute,6924,6925,"profanity"
mute,7193,7194,"profanity"
mute,7849,7850,"blasphemy"
mute,7949,7950,"profanity"